Transect,Core Code,Core Median Age (cal yrs BP),Nearest Core Code,Nearest Core Age Median Core Age (cal yrs BP),Distance to Nearest Core (m),Age Difference Between Cores (years),Expansion Rate (m yr-1)
Bolengo,BNG1_3.00P1,14250,BNG1_4.00P,27200,1002.189968,12950,0.077389187
Bolengo,BNG1_1.00P1,13900,BNG1_3.00P1,14250,1978.121133,350,5.651774664
Bolengo,BNG1_6.00P1,21200,BNG1_4.00P,27200,1987.519315,6000,0.331253219
Bondamba,BDM1_5.00P,17900,BDM1_7.00P,19250,1985.675892,1350,1.470871031
Bondamba,BDM1_3.00P,10700,BDM1_5.00P,17900,1985.604302,7200,0.275778375
Bondamba,BDM1_1.00P,7840,BDM1_3.00P,10700,1982.2948,2860,0.69311007
Itanga-Centre-Ekolongouma,CEN_17.4,17050,CEN_20.00,18450,2618.575625,1400,1.870411161
Itanga-Centre-Ekolongouma,CEN_12.00,14200,CEN_17.4,17050,5390.538032,2850,1.891416853
Itanga-Centre-Ekolongouma,CEN_8.00,13150,CEN_12.00,14200,3966.99846,1050,3.778093771
Itanga-Centre-Ekolongouma,CEN_4.00,13150,CEN_8.00,13150,4027.413087,0,NA
Itanga-Centre-Ekolongouma,ITG_6.0,9530,CEN_4.00,13150,3990.53501,3620,1.102357738
Itanga-Centre-Ekolongouma,ITG_5.00,8260,ITG_6.0,9530,1006.449408,1270,0.792479849
Itanga-Centre-Ekolongouma,ITG_4.00,7540,ITG_5.00,8260,998.8989181,720,1.387359608
Itanga-Centre-Ekolongouma,ITG_3.00,5050,ITG_4.00,7540,993.2325841,2490,0.398888588
Itanga-Centre-Ekolongouma,ITG_2.00,1300,ITG_3.00,5050,1008.074362,3750,0.26881983
Itanga-Centre-Ekolongouma,SPT_0.0,10550,CEN_20.00,18450,14842.99248,7900,1.878859807
Itanga-Centre-Ekolongouma,KM7,11100,SPT_0.0,10550,998.5542703,-550,NA
Itanga-Centre-Ekolongouma,SPT_2.0,10250,KM7,11100,998.0412342,850,1.174166158
Itanga-Centre-Ekolongouma,EKG03,9800,SPT_2.0,10250,2073.78461,450,4.608410245
Itanga-Centre-Ekolongouma,SPT_5.0,9490,EKG03,9800,922.7749161,310,2.976693278
Itanga-Centre-Ekolongouma,EKG02,7230,SPT_5.0,9490,789.6003242,2260,0.349380674
Ikelemba,IKE1_3.0,22500,IKE1_5.0,42300,1990.936567,19800,0.100552352
Ikelemba,IKE1_1.0,9050,IKE1_3.0,22500,1984.126286,13450,0.147518683
